TT,Năm học,Ngành đào tạo,Mã ngành,"Điểm chuẩn, điểm trúng tuyển",Tổ hợp xét tuyển,Thứ tự nguyện vọng (TTNV) trúng tuyển khi thí sinh có điểm xét tuyển bằng mức điểm trúng tuyển (*),Cơ sở,"Trường, Đại học, Học viện"
1,2023,Kỹ thuật Điện tử viễn thông,7520207,25.68,"A00, A01",n=1,Phía Bắc ( mã BVH),Học viện Công nghệ Bưu chính Viễn thông (PTIT)
2,2023,Kỹ thuật điều khiển và tự động hóa,7520216,25.4,"A00, A01",n<=3,Phía Bắc ( mã BVH),Học viện Công nghệ Bưu chính Viễn thông (PTIT)
3,2023,"Công nghệ kỹ thuật Điện, điện tử",7510301,25.01,"A00, A01",n=1,Phía Bắc ( mã BVH),Học viện Công nghệ Bưu chính Viễn thông (PTIT)
4,2023,Công nghệ thông tin,7480201,26.59,"A00, A01",n=1,Phía Bắc ( mã BVH),Học viện Công nghệ Bưu chính Viễn thông (PTIT)
5,2023,An toàn thông tin,7480202,26.04,"A00, A01",n<=3,Phía Bắc ( mã BVH),Học viện Công nghệ Bưu chính Viễn thông (PTIT)
6,2023,Khoa học máy tinh,7480101,26.55,"A00, A01",n<=4,Phía Bắc ( mã BVH),Học viện Công nghệ Bưu chính Viễn thông (PTIT)
7,2023,Cử nhân Công nghệ thông tin(định hướng ứng dụng),7480201 UDU,23.76,"A00, A01",n=4,Phía Bắc ( mã BVH),Học viện Công nghệ Bưu chính Viễn thông (PTIT)
8,2023,Mạng máy tính và truyền thông dữ liệu (CT kỹ thuật dữ liệu),7480102,24.88,"A00, A01",n<=3,Phía Bắc ( mã BVH),Học viện Công nghệ Bưu chính Viễn thông (PTIT)
9,2023,Công nghệ thông tin (chất lượng cao),7480201 CLC,25.38,"A00, A01",n=2,Phía Bắc ( mã BVH),Học viện Công nghệ Bưu chính Viễn thông (PTIT)
10,2023,Công nghệ đa phương tiện,7329001,25.89,"A00, A01, D01",n=1,Phía Bắc ( mã BVH),Học viện Công nghệ Bưu chính Viễn thông (PTIT)
11,2023,Truyền thông đa phương tiện,7320104,26.33,"A00, A01, D01",n=1,Phía Bắc ( mã BVH),Học viện Công nghệ Bưu chính Viễn thông (PTIT)
12,2023,Báo chi,7320101,25.36,"A00, A01, D01",n<=4,Phía Bắc ( mã BVH),Học viện Công nghệ Bưu chính Viễn thông (PTIT)
13,2023,Quản trị kinh doanh,7340101,25.15,"A00, A01, D01",n<=6,Phía Bắc ( mã BVH),Học viện Công nghệ Bưu chính Viễn thông (PTIT)
14,2023,Thương mại điện tử,7340122,26.2,"A00, A01, D01",n<=2,Phía Bắc ( mã BVH),Học viện Công nghệ Bưu chính Viễn thông (PTIT)
15,2023,Marketing,7340115,25.8,"A00, A01, D01",n<=6,Phía Bắc ( mã BVH),Học viện Công nghệ Bưu chính Viễn thông (PTIT)
16,2023,Kế toán,7340301,25.05,"A00, A01, D01",n<=3,Phía Bắc ( mã BVH),Học viện Công nghệ Bưu chính Viễn thông (PTIT)
17,2023,Công nghê tài chính (Fintech),7340205,25.35,"A00, A01, D01",n=1,Phía Bắc ( mã BVH),Học viện Công nghệ Bưu chính Viễn thông (PTIT)
