CODE,NAME,Xét tuyển tài năng,THPT,XTKH,"ĐGNL, ĐGTD"
7520207,Kỹ thuật Điện tử viễn thông,45,195,95,55
7520216,Kỹ thuật Điều khiển và tự động hóa,10,40,20,10
7510301,Công nghệ Kỹ thuật Điện-điện tử,25,120,60,35
7480201,Công nghệ thông tin,60,300,150,90
7480202,An toàn thông tin,30,140,70,40
7480101,Khoa học máy tính (định hướng Khoa học dữ liệu),15,70,35,20
7480102,Mạng máy tính và truyền thông dữ liệu (CT Kỹ thuật dữ liệu),10,50,25,15
7480201_UDU,Cử nhân Công nghệ thông tin (định hướng ứng dụng),30,140,70,40
7329001,Công nghệ đa phương tiện,25,120,60,35
7320104,Truyền thông đa phương tiện,15,70,35,20
7320101,Báo chí,10,40,20,10
7340101,Quản trị kinh doanh,25,115,55,35
7340122,Thương mại điện tử,20,75,35,20
7340115,Marketing,25,110,55,30
7340301,Kế toán,10,60,30,20
7340205,Công nghệ tài chính (Fintech),15,65,30,20
7480201_CLC,Công nghệ thông tin,30,140,70,40
7340115_CLC,Marketing,10,50,25,15
7340301_CLC,Kế toán (chuẩn quốc tế ACCA),10,50,25,15
7520207,Kỹ thuật Điện tử viễn thông ,10,50,30,20
7520216,Kỹ thuật Điều khiển và tự động hóa ,10,45,25,15
7510301,Công nghệ Kỹ thuật Điện-điện tử ,10,45,25,20
7480201,Công nghệ thông tin ,15,90,50,40
7480202,An toàn thông tin ,10,40,25,15
7520208,Công nghệ Inernet vạn vật ,10,40,25,20
7329001,Công nghệ đa phương tiện ,10,60,35,25
7340101,Quản trị kinh doanh ,10,50,30,20
7340115,Marketing ,10,65,35,30
7340301,Kế toán ,10,45,25,20
7480201_CLC,Công nghệ thông tin ,10,50,30,20
7340115_CLC,Marketing ,5,20,10,5
