Intent,Question,Answer,Yes/No/Other,Lưu ý,Answer_AI,Al_Intent_RAG
Chỉ tiêu tuyển sinh,Tổng số chỉ tiêu tuyển sinh của Học viện Bưu chính Viễn thông năm 2024 là bao nhiêu?,Tổng số chỉ tiêu tuyển sinh của Học viện Bưu chính Viễn thông năm 2024 là 5.060 chỉ tiêu.,1,,Tổng số chỉ tiêu tuyển sinh của Học viện Bưu chính Viễn thông năm 2024 là 5.060 cho cả 2 cơ sở đào tạo tại Hà Nội và Tp. HCM.,Tổng số chỉ tiêu tuyển sinh của Học viện Bưu chính Viễn thông năm 2024 là 5.060 cho cả 2 cơ sở đào tạo tại Hà Nội và Tp. HCM.
Chỉ tiêu tuyển sinh,Có bao nhiêu chỉ tiêu tuyển sinh tại cơ sở phía Bắc của Học viện Bưu chính Viễn thông?,"Tại cơ sở phía Bắc của Học viện Bưu chính Viễn thông, tổng chỉ tiêu tuyển sinh là 3900.",1,,"Tại cơ sở phía Bắc của Học viện Bưu chính Viễn thông, tổng chỉ tiêu tuyển sinh là 3900.",Có tổng cộng 3900 chỉ tiêu tuyển sinh tại cơ sở phía Bắc (BVH) của Học viện Bưu chính Viễn thông.
Chỉ tiêu tuyển sinh,Chỉ tiêu tuyển sinh ngành Kỹ thuật Điện tử viễn thông tại cơ sở phía Nam là bao nhiêu?,Chỉ tiêu tuyển sinh ngành Kỹ thuật Điện tử viễn thông tại cơ sở phía Nam (BVS) là 110 chỉ tiêu.,1,,Chỉ tiêu tuyển sinh ngành Kỹ thuật Điện tử viễn thông tại cơ sở phía Nam (BVS) là 110 chỉ tiêu.,Chỉ tiêu tuyển sinh ngành Kỹ thuật Điện tử viễn thông tại cơ sở phía Nam (BVS) là 110 chỉ tiêu.
Chỉ tiêu tuyển sinh,Có bao nhiêu chỉ tiêu tuyển sinh ngành Công nghệ Kỹ thuật Điện-điện tử tại cơ sở phía Bắc?,Có tổng cộng 340 chỉ tiêu tuyển sinh ngành Công nghệ Kỹ thuật Điện-điện tử tại cơ sở phía Bắc (BVH).,1,,"Có tổng cộng 240 chỉ tiêu tuyển sinh ngành Công nghệ Kỹ thuật Điện-điện tử tại cơ sở phía Bắc (BVH). Trong đó, có 25 chỉ tiêu xét tuyển tài năng, 120 chỉ tiêu thi THPT, 60 chỉ tiêu xét tuyển kết hợp, và 35 chỉ tiêu đánh giá năng lực, đánh giá tư duy.",Có tổng cộng 240 chỉ tiêu tuyển sinh ngành Công nghệ Kỹ thuật Điện-điện tử tại cơ sở phía Bắc (BVH).
Chỉ tiêu tuyển sinh,Chỉ tiêu tuyển sinh ngành An toàn thông tin tại cơ sở phía Nam là bao nhiêu?,Chỉ tiêu tuyển sinh ngành An toàn thông tin tại cơ sở phía Nam (BVS) là 90 chỉ tiêu.,1,,Chỉ tiêu tuyển sinh ngành An toàn thông tin tại cơ sở phía Nam (BVS) là 90 chỉ tiêu.,"Trong thông tin tuyển sinh, chỉ tiêu tuyển sinh ngành An toàn thông tin tại cơ sở phía Nam (BVS) là 90 chỉ tiêu."
Chỉ tiêu tuyển sinh,Có bao nhiêu chỉ tiêu tuyển sinh ngành Khoa học máy tính (định hướng Khoa học dữ liệu) tại cơ sở phía Bắc?,Có tổng cộng 140 chỉ tiêu tuyển sinh ngành Khoa học máy tính (định hướng Khoa học dữ liệu) tại cơ sở phía Bắc (BVH).,1,,Chỉ tiêu tuyển sinh ngành Khoa học máy tính (định hướng Khoa học dữ liệu) tại cơ sở phía Bắc là 140 chỉ tiêu.,Có tổng cộng 140 chỉ tiêu tuyển sinh ngành Khoa học máy tính (định hướng Khoa học dữ liệu) tại cơ sở phía Bắc.
Chỉ tiêu tuyển sinh,Chỉ tiêu tuyển sinh ngành Mạng máy tính và truyền thông dữ liệu tại cơ sở phía Bắc là bao nhiêu?,Chỉ tiêu tuyển sinh ngành Mạng máy tính và truyền thông dữ liệu tại cơ sở phía Bắc (BVH) là 100 chỉ tiêu.,1,,Chỉ tiêu tuyển sinh ngành Mạng máy tính và truyền thông dữ liệu tại cơ sở phía Bắc (BVH) là 100 chỉ tiêu.,Chỉ tiêu tuyển sinh ngành Mạng máy tính và truyền thông dữ liệu tại cơ sở phía Bắc (BVH) là 100 chỉ tiêu.
Chỉ tiêu tuyển sinh,Có bao nhiêu chỉ tiêu tuyển sinh ngành Cử nhân Công nghệ thông tin (định hướng ứng dụng) tại cơ sở phía Bắc?,Có tổng cộng 280 chỉ tiêu tuyển sinh ngành Cử nhân Công nghệ thông tin (định hướng ứng dụng) tại cơ sở phía Bắc.,1,,Chỉ tiêu tuyển sinh ngành Cử nhân Công nghệ thông tin (định hướng ứng dụng) tại cơ sở phía Bắc là 280 chỉ tiêu.,Có tổng cộng 280 chỉ tiêu tuyển sinh ngành Cử nhân Công nghệ thông tin (định hướng ứng dụng) tại cơ sở phía Bắc (BVH).
Chỉ tiêu tuyển sinh,Chỉ tiêu tuyển sinh ngành Thương mại điện tử tại cơ sở phía Bắc là bao nhiêu?,Chỉ tiêu tuyển sinh ngành Thương mại điện tử tại cơ sở phía Bắc (BVH) là 150 chỉ tiêu.,1,,Chỉ tiêu tuyển sinh ngành Thương mại điện tử tại cơ sở phía Bắc (BVH) là 150 chỉ tiêu.,Chỉ tiêu tuyển sinh ngành Thương mại điện tử tại cơ sở phía Bắc (BVH) là 150 chỉ tiêu.
Chỉ tiêu tuyển sinh,Có bao nhiêu chỉ tiêu tuyển sinh ngành Marketing tại cơ sở phía Nam?,"Tại cơ sở phía Nam (BVS), ngành Marketing có tổng cộng 40 chỉ tiêu tuyển sinh.",1,,"Tại cơ sở phía Nam, ngành Marketing có tổng cộng 140 chỉ tiêu tuyển sinh, bao gồm 10 chỉ tiêu xét tuyển tài năng, 65 chỉ tiêu thi THPT, 35 chỉ tiêu xét tuyển kết hợp, và 30 chỉ tiêu đánh giá năng lực, đánh giá tư duy.",Có tổng cộng 140 chỉ tiêu tuyển sinh ngành Marketing tại cơ sở phía Nam (BVS).
